Num. prods = 20
{ 0 }		1000
{ 1 }		818
{ 2 }		670
{ 3 }		548
{ 4 }		449
{ 5 }		367
{ 6 }		301
{ 7 }		246
{ 8 }		201
{ 9 }		165
{ 10 }		135
{ 11 }		110
{ 12 }		90
{ 13 }		74
{ 14 }		60
{ 15 }		49
{ 16 }		40
{ 17 }		33
{ 18 }		27
{ 19 }		22
{ 0 , 9 }		25
{ 0 , 13 }		18
{ 0 , 15 }		6
{ 0 , 16 }		19
{ 0 , 7 }		96
{ 0 , 18 }		12
{ 0 , 5 }		139
{ 0 , 6 }		201
{ 0 , 10 }		80
{ 0 , 8 }		125
{ 0 , 14 }		32
{ 1 , 2 }		564
{ 1 , 15 }		12
{ 1 , 8 }		3
{ 1 , 11 }		24
{ 1 , 9 }		58
{ 1 , 6 }		10
{ 2 , 16 }		5
{ 2 , 19 }		6
{ 2 , 13 }		2
{ 2 , 18 }		2
{ 2 , 6 }		4
{ 3 , 15 }		22
{ 3 , 11 }		53
{ 3 , 6 }		30
{ 4 , 8 }		11
{ 4 , 13 }		2
{ 4 , 14 }		18
{ 4 , 18 }		9
{ 4 , 7 }		57
{ 4 , 19 }		8
{ 4 , 15 }		1
{ 4 , 12 }		1
{ 5 , 14 }		3
{ 5 , 6 }		7
{ 5 , 16 }		3
{ 5 , 18 }		1
{ 5 , 12 }		53
{ 5 , 7 }		34
{ 5 , 11 }		8
{ 5 , 8 }		18
{ 6 , 7 }		2
{ 6 , 9 }		2
{ 7 , 16 }		3
{ 7 , 9 }		2
{ 8 , 17 }		15
{ 8 , 11 }		1
{ 8 , 16 }		2
{ 8 , 12 }		4
{ 9 , 16 }		1
{ 9 , 13 }		24
{ 9 , 10 }		7
{ 9 , 12 }		13
{ 9 , 17 }		1
{ 10 , 17 }		3
{ 10 , 11 }		3
{ 12 , 13 }		4
{ 13 , 17 }		1
